Log_file,Efficientnet,Batch Size,Reg. Lambda,Optimizer,Data Size,Data Size after augmentation,Resize,Train Loss,Test Loss,Train Accuracy,Test Accuracy,Time Taken (mins),Diff. Loss,Diff. Accuracy
Hyperparameter-Result44,b0,32,0.1,adam,5000,7500,224x224,0.6702859998,0.6811698675,0.6076666713,0.5820000172,2.48,0.01088386774,0.02566665411
Hyperparameter-Result44,b4,8,0.1,adam,5000,7500,320x320,0.6699716449,0.6806511879,0.6071666479,0.5853333473,7.99,0.01067954302,0.02183330059
Hyperparameter-Result44,b5,32,0.1,adam,5000,7500,320x320,0.6718192101,0.6823215485,0.6043333411,0.5766666532,10.48,0.01050233841,0.02766668797
Hyperparameter-Result45,b0,32,0.1,sgd,5000,7500,224x224,0.6053211093,0.6094223261,0.7096666694,0.69599998,3.79,0.004101216793,0.0136666894
Hyperparameter-Result45,b4,8,0.1,sgd,5000,7500,320x320,0.6024787426,0.6069285274,0.7038333416,0.7046666741,18.04,0.004449784756,-0.0008333325386
Hyperparameter-Result45,b5,32,0.1,sgd,5000,7500,320x320,0.6032381058,0.5989899635,0.7106666565,0.7286666632,18.23,-0.004248142242,-0.01800000668
Hyperparameter-Result46,b0,32,N/A,adam,5000,7500,224x224,0.6726065874,0.6846373081,0.6035000086,0.573333323,1.88,0.01203072071,0.03016668558
Hyperparameter-Result46,b4,8,N/A,adam,5000,7500,320x320,0.4737868309,0.4951461852,0.7118333578,0.7333333492,18,0.02135935426,-0.02149999142
Hyperparameter-Result46,b5,32,N/A,adam,5000,7500,320x320,0.6223394871,0.6210787892,0.6660000086,0.6660000086,18.06,-0.001260697842,0
Hyperparameter-Result47,b0,32,N/A,sgd,5000,7500,224x224,0.3897534907,0.4308206439,0.8268333077,0.8153333068,3.81,0.04106715322,0.01150000095
Hyperparameter-Result47,b4,8,N/A,sgd,5000,7500,320x320,0.460472852,0.4876450896,0.7916666865,0.7666666508,18.02,0.02717223763,0.02500003576
Hyperparameter-Result47,b5,32,N/A,sgd,5000,7500,320x320,0.3775939941,0.447286129,0.8336666822,0.7900000215,18.48,0.06969213486,0.04366666079
Hyperparameter-Result48,b0,16,0.001,adam,5000,7500,224x224,0.5477419496,0.5175994635,0.7250000238,0.7626666427,4.41,-0.0301424861,-0.03766661882
Hyperparameter-Result48,b4,32,0.01,adam,5000,7500,320x320,0.6326128244,0.6320721507,0.6063333154,0.5806666613,13.63,-0.0005406737328,0.02566665411
Hyperparameter-Result48,b5,16,0.001,adam,5000,7500,320x320,0.5581178069,0.5366180539,0.6893333197,0.7379999757,19.22,-0.021499753,-0.04866665602
Hyperparameter-Result49,b0,16,0.001,sgd,5000,7500,224x224,0.7205271125,0.724411726,0.749333322,0.7366666794,4.35,0.003884613514,0.01266664267
Hyperparameter-Result49,b4,32,0.01,sgd,5000,7500,320x320,1.74706018,1.737513304,0.7126666903,0.7226666808,13.72,-0.009546875954,-0.009999990463
Hyperparameter-Result49,b5,16,0.001,sgd,5000,7500,320x320,0.7323002219,0.7463617325,0.7419999838,0.7319999933,19.27,0.01406151056,0.009999990463
Hyperparameter-Result5,b0,16,0.1,sgd,5000,7500,224x224,6.185287952,6.162755013,0.6563333273,0.6480000019,4.5,-0.02253293991,0.008333325386
Hyperparameter-Result5,b4,16,N/A,sgd,5000,7500,320x320,0.6245645285,0.6189604998,0.658166647,0.6819999814,14.59,-0.005604028702,-0.02383333445
Hyperparameter-Result5,b5,16,0.1,sgd,5000,7500,320x320,6.377818584,6.359963417,0.6376666427,0.6346666813,19.47,-0.01785516739,0.002999961376
Hyperparameter-Result50,b0,16,0.01,adam,5000,7500,224x224,0.6698704362,0.680249691,0.6076666713,0.5826666951,1.98,0.01037925482,0.02499997616
Hyperparameter-Result50,b4,32,0.1,adam,5000,7500,320x320,0.6675924063,0.6796406507,0.6063333154,0.5780000091,13.54,0.01204824448,0.02833330631
Hyperparameter-Result50,b5,16,0.01,adam,5000,7500,320x320,0.6712978482,0.682251811,0.6044999957,0.578666687,7.82,0.0109539628,0.0258333087
Hyperparameter-Result51,b0,16,0.01,sgd,5000,7500,224x224,1.090051293,1.091151237,0.7453333139,0.7466666698,4.44,0.001099944115,-0.001333355904
Hyperparameter-Result51,b4,32,0.1,sgd,5000,7500,320x320,0.6285398602,0.6407727003,0.6971666813,0.6919999719,13.63,0.01223284006,0.005166709423
Hyperparameter-Result51,b5,16,0.01,sgd,5000,7500,320x320,1.122786403,1.124826908,0.7400000095,0.7400000095,19.5,0.002040505409,0
Hyperparameter-Result52,b0,16,0.1,adam,5000,7500,224x224,0.6621027589,0.6672488451,0.6065000296,0.5839999914,4.32,0.005146086216,0.02250003815
Hyperparameter-Result52,b4,32,N/A,adam,5000,7500,320x320,0.3757490218,0.4517267644,0.8050000072,0.7919999957,13.48,0.07597774267,0.01300001144
Hyperparameter-Result52,b5,16,0.1,adam,5000,7500,320x320,0.671138525,0.6822937131,0.6046666503,0.5780000091,12.09,0.01115518808,0.02666664124
Hyperparameter-Result53,b0,16,0.1,sgd,5000,7500,224x224,0.5941044688,0.6118052602,0.7164999843,0.6933333278,4.4,0.01770079136,0.02316665649
Hyperparameter-Result53,b4,32,N/A,sgd,5000,7500,320x320,0.5648664236,0.5738840103,0.7156666517,0.7080000043,13.46,0.009017586708,0.007666647434
Hyperparameter-Result53,b5,16,0.1,sgd,5000,7500,320x320,0.6085310578,0.6188732386,0.7005000114,0.6873333454,19.28,0.01034218073,0.01316666603
Hyperparameter-Result54,b0,16,N/A,adam,5000,7500,224x224,0.4054045677,0.4293202758,0.7828333378,0.7919999957,4.38,0.02391570807,-0.009166657925
Hyperparameter-Result54,b5,16,N/A,adam,5000,7500,320x320,0.3894653618,0.4699762762,0.7968333364,0.8053333163,19.02,0.08051091433,-0.008499979973
Hyperparameter-Result55,b0,16,N/A,sgd,5000,7500,224x224,0.5153179169,0.516982615,0.7490000129,0.7340000272,4.37,0.001664698124,0.01499998569
Hyperparameter-Result55,b5,16,N/A,sgd,5000,7500,320x320,0.516312778,0.5380580425,0.7490000129,0.7346666455,19.53,0.02174526453,0.01433336735
Hyperparameter-Result56,b0,8,0.001,adam,5000,7500,224x224,0.6210984588,0.5903590322,0.6051666737,0.5893333554,7.75,-0.03073942661,0.01583331823
Hyperparameter-Result56,b5,8,0.001,adam,5000,7500,320x320,0.620605886,0.5898225904,0.6043333411,0.5906666517,23.53,-0.03078329563,0.0136666894
Hyperparameter-Result57,b0,8,0.001,sgd,5000,7500,224x224,0.6467754245,0.6579288244,0.7763333321,0.7753333449,7.51,0.01115339994,0.0009999871254
Hyperparameter-Result57,b5,8,0.001,sgd,5000,7500,320x320,0.6538988948,0.6768366694,0.779333353,0.7753333449,23.86,0.02293777466,0.004000008106
Hyperparameter-Result58,b0,8,0.01,adam,5000,7500,224x224,0.6695686579,0.6818971038,0.6091666818,0.5806666613,2.91,0.01232844591,0.0285000205
Hyperparameter-Result58,b5,8,0.01,adam,5000,7500,320x320,0.6718072891,0.6778171659,0.6035000086,0.5879999995,9.54,0.006009876728,0.01550000906
Hyperparameter-Result59,b0,8,0.01,sgd,5000,7500,224x224,0.640081346,0.6788356304,0.7811666727,0.7433333397,7.63,0.03875428438,0.03783333302
Hyperparameter-Result59,b5,8,0.01,sgd,5000,7500,320x320,0.6458608508,0.6846240759,0.7850000262,0.7513333559,23.82,0.03876322508,0.03366667032
Hyperparameter-Result6,b0,16,N/A,adam,5000,7500,224x224,0.3154823184,0.3950720727,0.8659999967,0.8259999752,4.31,0.07958975434,0.04000002146
Hyperparameter-Result6,b4,8,0.01,adam,5000,7500,320x320,0.5726534724,0.5800273418,0.7170000076,0.7046666741,17.94,0.007373869419,0.01233333349
Hyperparameter-Result6,b5,16,N/A,adam,5000,7500,320x320,0.2794775069,0.4269607067,0.8791666627,0.8153333068,19.13,0.1474831998,0.0638333559
Hyperparameter-Result60,b0,8,0.1,adam,5000,7500,224x224,0.6700347066,0.6783585548,0.6075000167,0.5879999995,4.47,0.008323848248,0.01950001717
Hyperparameter-Result60,b5,8,0.1,adam,5000,7500,320x320,0.6717808247,0.6822246909,0.603333354,0.5793333054,11.11,0.01044386625,0.02400004864
Hyperparameter-Result61,b0,8,0.1,sgd,5000,7500,224x224,0.5914798975,0.6009552479,0.7191666961,0.6973333359,7.47,0.00947535038,0.0218333602
Hyperparameter-Result61,b5,8,0.1,sgd,5000,7500,320x320,0.5949027538,0.6125914454,0.7266666889,0.7046666741,23.42,0.01768869162,0.02200001478
Hyperparameter-Result62,b0,8,N/A,adam,5000,7500,224x224,0.4433297515,0.5005745292,0.7613333464,0.7733333111,7.13,0.05724477768,-0.01199996471
